Farm_ID,Region,Crop_Type,Farming_Practice,Soil_Type,Soil_pH,Soil_Moisture(%),Nitrogen(ppm),Phosphorus(ppm),Potassium(ppm),Temperature(°C),Rainfall(mm),Humidity(%),Solar_Radiation(W/m²),Irrigation(L/ha),Fertilizer_Usage(kg/ha),Pesticide_Usage(kg/ha),Pest_Incidence,Pest_Severity,Carbon_Emissions(kgCO2eq/ha),Biodiversity_Score,Water_Use_Efficiency(kg/L),Yield(kg/ha),Profit(USD/ha)
F001,East,Maize,Conventional,Clay,5.27,15.4,46,19.6,130.7,25.5,186.8,70.6,170.2,2571.4,156.4,19.2,Yes,Medium,1213.6,8.2,3.03,5794.8,1145.9
F002,West,Cotton,Organic,Sandy,6.46,36.9,108.1,73.8,65.2,26.3,90.2,58.9,279.2,3218.1,163,14.6,Yes,High,1664.4,4.9,2.72,5866.8,2132.2
F003,South,Rice,Conventional,Loamy,5.42,25.5,96.9,69.1,168.5,23.9,210.5,52.6,298.1,4705.8,249.9,19.5,Yes,Medium,767.8,0.2,1.79,2055,3830.2
F004,North,Vegetables,Organic,Silty,7.44,34,114.3,60.1,149,32,93.1,79.4,678.7,1884.5,123.9,13.7,No,Low,765.4,1.2,0.78,1365.7,1288
F005,North,Rice,Organic,Clay,5.52,16.7,101.2,20.9,237,22.5,246.4,52.1,660,2918.1,131,9.9,Yes,High,1590.5,7.8,2.88,7026.8,3158.4
F006,North,Wheat,Integrated,Silty,6.5,8.1,70.9,61.8,188.7,18.4,118.5,53.2,493.8,4144.7,160.7,4.6,No,Low,904.3,2.3,1.06,4353.2,4836.7
F007,South,Vegetables,Integrated,Sandy,6.24,24,103.5,61.7,232.9,38.8,253.2,65.4,305.9,2002.6,210,10.2,Yes,Low,1365.6,3.8,0.93,1926.1,890.7
F008,North,Soybean,Integrated,Loamy,5.61,17.9,37.1,13.5,151,32.1,205.3,37.9,710.2,3723.8,153,10,Yes,High,810.1,2,2.38,3622.1,2715.1
F009,East,Cotton,Integrated,Silty,7.14,35,32,71.3,127.4,18.5,250,38.7,723.8,820.9,65.4,7.8,Yes,Low,1255.8,1.1,2.82,7978.4,820.7
F010,West,Vegetables,Integrated,Sandy,5.85,25.3,98.2,52,219.4,38.7,273.7,24,193,1038.4,71.4,4.8,No,Medium,243.8,2.4,0.92,5101,506.9
F011,West,Wheat,Conventional,Sandy,4.8,8.3,92.1,25.5,155.6,26,40,32,325.8,2091,243.7,15.2,No,Low,546.4,9.7,3.36,3753.1,3015.2
F012,East,Maize,Conventional,Silty,5.64,23.7,97.2,27.4,86,30.2,76,25.9,142.7,4446.3,40,14.4,No,Medium,1697.5,1.7,3.48,3250.5,4164.9
F013,North,Wheat,Conventional,Clay,7.45,16.4,37.2,18.6,235.5,24.2,25.4,41,743.6,4986.3,219.1,9.4,No,Medium,360,5.6,2.18,2701.1,464.8
F014,East,Rice,Integrated,Loamy,6.16,23.2,60.7,64.4,172.6,34.3,283.7,22.9,569.3,1044.4,199.4,6.1,Yes,Medium,1227.2,7.3,3.03,1677.5,3721.1
F015,West,Cotton,Conventional,Clay,4.82,13.2,71.7,23.5,139.8,28.4,119.3,44.9,638.6,4502.7,80.7,3,No,Medium,1955.9,8.6,1.66,5876.6,106.8
F016,North,Maize,Integrated,Clay,4.8,12.4,117.5,15.7,68.3,18.6,159.7,60.1,599,2575.8,199.3,13.3,Yes,Low,503.1,6,1.43,6756.9,1034.2
F017,South,Soybean,Integrated,Silty,5.71,33,54.6,36.5,69.1,24.3,266.6,21.8,602.9,2913.7,36.4,10.2,No,High,1731.8,4.1,1.99,5649.6,1658.1
F018,East,Cotton,Conventional,Loamy,6.95,18.9,39.6,61.8,74.2,40,180.5,45,613.6,4826.6,111.5,13.1,Yes,Medium,111.7,4.3,1.4,6700.7,4929.1
F019,East,Vegetables,Organic,Sandy,6.74,45,23.4,67.3,138.5,16,153.6,56,718.5,1842.2,53.9,2.4,Yes,High,822.4,9.9,2.94,2747.3,2975.6
F020,West,Vegetables,Organic,Loamy,6.72,5.6,35.4,19.2,144.4,37.8,200.7,91.6,735.8,3304.5,69.8,8.2,No,Medium,1133.5,0.6,1.11,6095.1,3145.4
F021,West,Rice,Conventional,Loamy,7.85,38.2,27.8,45.9,66.1,29.4,47.5,71.3,500.6,3487.1,141.6,3,Yes,Medium,285.7,1.8,1.35,4746.1,1527.3
F022,West,Cotton,Integrated,Silty,7.46,16.9,85.6,54.1,79.7,27.8,225.2,22.3,605.5,2747.8,137.6,18.2,No,High,1352.2,3.4,2.46,981.7,3387.5
F023,West,Cotton,Conventional,Clay,8.02,23.4,25.4,62.6,68.4,16.8,72.1,83.7,521,1735.5,131.9,1.1,Yes,Low,696.4,9,1.09,2544.6,4621.9
F024,East,Cotton,Integrated,Clay,5.39,42.6,104.5,66.8,60.9,18.9,232.8,57.8,559.4,4497.6,120.1,8.4,Yes,High,819.5,3.4,1.03,6261,1962
F025,West,Cotton,Organic,Silty,6.79,38.3,74.1,14.3,245.9,28.1,70.5,83.4,252.3,4924.1,16.4,16.3,Yes,Low,166,1.6,2.98,4411.8,3498.9
F026,West,Maize,Organic,Loamy,6.18,22.1,45.4,55.5,190.7,26.6,38.9,31.5,308.9,3961.1,229.7,13.9,No,High,1534.8,0.5,2.67,5837.4,1999.3
F027,West,Cotton,Organic,Loamy,7.75,33.9,57.1,11.4,67.9,38.6,185.1,35.3,504.6,3551.4,78.2,18.7,Yes,Medium,1389.1,7.5,1.12,3706.6,4153.8
F028,South,Cotton,Conventional,Sandy,6.77,39.7,51.4,77.9,193.5,34.6,77.4,53.7,557.8,2978.3,84.4,7.5,Yes,Low,934.3,1,0.81,2209.5,4526.2
F029,East,Cotton,Integrated,Sandy,6.86,19.6,107,47.8,166.6,21.8,120.5,24.3,412.6,4155.1,210.3,2.3,Yes,Medium,732.9,7.9,2.73,2001.7,1349.6
F030,West,Soybean,Conventional,Clay,6.53,15.9,58.6,36.2,186.6,27.8,209.7,69.8,601.9,3541.3,123.6,10.5,No,High,1348,1.3,1.8,4135,4861.5
F031,East,Rice,Organic,Clay,7.34,25.3,64,16.8,61.7,19.3,92.8,81.5,693.2,1595.2,132.9,12.7,Yes,High,1085.6,7.4,1.48,7788,471.3
F032,North,Wheat,Conventional,Silty,7.4,28,107.3,61.7,203.8,20.7,44.8,83.3,499,1127.7,80.6,1.4,Yes,Low,1619.9,0.9,1.99,771.5,2695
